subID,trial,responseTime,trueTime,ansTime,condition,index
19,6,2016-04,2015-03,2016-03,Memory,12
19,7,2016-04,2011-04,2011-04,Possible Past,0
19,8,2016-04,2007-08,2011-11,Possible Past,51
19,9,2016-04,2010-12,2010-12,Possible Past,0
19,10,2016-04,2012-08,2013-03,Possible Past,7
19,11,2016-04,2006-09,2009-08,Possible Past,35
19,12,2016-04,2009-06,2008-06,Possible Past,-12
19,13,2016-04,2019-09,2020-10,Possible Future,13
19,14,2016-04,2022-01,2023-06,Possible Future,17
19,15,2016-04,2020-10,2021-07,Possible Future,10
19,16,2016-04,2016-06,2015-05,Possible Future,-12
19,17,2016-04,2018-11,2015-02,Possible Future,45
19,18,2016-04,2017-10,2017-08,Possible Future,-2
21,1,2016-04,2014-08,2014-08,Memory,0
21,2,2016-04,2015-03,2015-04,Memory,-1
21,3,2016-04,2015-10,2015-10,Memory,0
21,4,2016-04,2016-04,2016-04,Memory,0
21,5,2016-04,2012-10,2012-10,Memory,0
21,6,2016-04,2014-05,2014-05,Memory,0
21,7,2016-04,2012-12,2013-12,Possible Past,12
21,8,2016-04,2010-06,2010-07,Possible Past,1
21,9,2016-04,2014-11,2014-12,Possible Past,1
21,10,2016-04,2011-02,2011-02,Possible Past,0
21,11,2016-04,2012-05,2013-02,Possible Past,15
21,12,2016-04,2008-07,2008-08,Possible Past,1
21,13,2016-04,2016-05,2016-05,Possible Future,0
21,14,2016-04,2016-07,2018-05,Possible Future,22
21,15,2016-04,2016-10,2016-09,Possible Future,-1
21,16,2016-04,2016-04,2016-04,Possible Future,0
21,17,2016-04,2016-12,2017-11,Possible Future,11
21,18,2016-04,2018-05,2017-05,Possible Future,-12
22,1,2016-04,2014-07,2014-07,Memory,0
22,2,2016-04,2014-04,2014-04,Memory,0
22,3,2016-04,2010-05,2010-04,Memory,0
22,4,2016-04,2015-01,2015-01,Memory,0
22,5,2016-04,2014-08,2014-08,Memory,0
22,6,2016-04,2010-04,2010-04,Memory,0
22,7,2016-04,2016-05,2016-05,Possible Past,0
22,8,2016-04,2011-01,2011-02,Possible Past,1
22,9,2016-04,2015-08,2015-08,Possible Past,0
22,10,2016-04,2014-06,2014-05,Possible Past,-1
22,11,2016-04,2010-02,2010-03,Possible Past,1
22,12,2016-04,2012-04,2012-04,Possible Past,0
22,13,2016-04,2016-04,2016-01,Possible Future,-2
22,14,2016-04,2016-08,2016-08,Possible Future,0
22,15,2016-04,2018-06,2018-06,Possible Future,0
